entity1,relation,entity2
稻瘟病,属于,农作物
地老虎,科,夜蛾科
唐菖蒲,属于,花卉
彩色马蹄莲,病害,软腐病
糯稻,属于,植物
病毒病,病原,稻蓟马
巨峰葡萄,科,葡萄科
家兔,别名,兔子
鳙鱼,属于,动物
蓖麻油,属于,中药
雀舌草,属于,植物
卵黄抗体,属于,疾病
水仙,属于,中药
淮稻9号,属于,水稻
黑鱼,别名,生鱼
鳕鱼,属于,鱼类
豆蚜,属于,动物
烯酰吗啉,防治,绵疫病
果树,病害,果轮纹病
羊茅,属于,植物
好灭丹,防治,桃小食心虫
燕麦,属于,农作物
卡介苗,属于,疫苗
银边吊兰,属于,植物
绒山羊,属于,动物
花生,虫害,蚜虫
溴氰菊脂,防治,小菜蛾
溴氰菊酯,别名,敌杀死
高效氯氟氰菊酯,防治,葱蚜
南美白对虾,属于,动物
南天竹,属于,植物
桑白皮,属于,植物
鸭,饲料,花生
紫貂,属于,动物
大白菜,属于,农作物
春秋王,属于,黄瓜
狂犬病疫苗,属于,疫苗
大青萝卜,属于,萝卜芽
白色念珠菌,属于,微生物
大葱,虫害,棉铃虫
根腐病,病原,真菌
土菌消 水剂,防治,茼蒿立枯病
丰辉,属于,植物
花叶万年青,属于,花卉
马拉巴栗,别名,发财树
西湖龙井,属于,茶
海带,属于,中药
白柳,属于,中药
蛞蝓,属于,动物
家畜,属于,动物
矮生豇豆,属于,蔬菜
水稻立枯病,病原,真菌
大白菜,虫害,病毒病
麻油,属于,中药
沙蚕,属于,动物
茄子,属于,蔬菜
大白菜,属于,叶菜
百菌清,防治,青枯病
苹果褐斑病,病原,真菌
多菌灵可湿性粉剂,防治,小斑病
传染性法氏囊炎,病原,传染性法氏囊炎病毒
萝卜芽,属于,植物
籽粒苋,科,苋科
花生,属于,植物
蛴螬,属于,害虫
番茄,病害,霜霉病
软腐病,属于,疾病
毫升,属于,微生物
冰片,属于,植物
胡萝卜,虫害,蚜虫
棉花,虫害,棉铃虫
金柑,属于,植物
猪苓,属于,植物
番茄,病害,晚疫病
猪,别名,生猪
原虫病,属于,疾病
花生网斑病,病原,病毒
小麦,病害,条锈病
多菌灵可湿性粉剂,防治,颖枯病
向日葵,属于,植物
大白菜,病害,软腐病
多菌灵可湿性粉剂,防治,霜霉病
马铃薯,病害,青枯病
东方美人茶,属于,茶
茼蒿,属于,中药
朱顶红,属于,植物
肝素,属于,微生物
辣椒,属于,蔬菜
蛔虫病,属于,疾病
百菌清可湿性粉剂,防治,苹果斑点落叶病
芹菜,病害,病毒病
香茅,属于,植物
白色念珠菌,属于,真菌
革兰氏阳性菌,包含,链球菌
鹄,属于,动物
白灵菇,属于,微生物
甜椒,属于,辣椒
瑞毒霉,防治,霜霉病
赤星病,病原,真菌
氨中毒,属于,疾病
生石膏,属于,中药
棕榈科,属于,植物
有棱丝瓜,属于,丝瓜
桃树,属于,树
食肉目,属于,动物
克螨灵 吡虫啉,防治,白粉虱
四季海棠,属于,植物
大白菜,属于,白菜
薏苡,别名,薏米
枣果,虫害,桃小食心虫
肺火,属于,疾病
胡萝卜,属于,植物
乙磷铝锰锌,防治,霜霉病
指环虫科,属于,动物
落果,属于,植物
多菌灵可湿性粉剂,防治,苹果轮纹病
布鲁氏菌,属于,疾病
木犀草,属于,植物
灭蚜威,治疗,小麦
秋子梨,属于,植物
疥螨,属于,疾病
疫苗,防治,链球菌病
衣原体,属于,疾病
旱稗,属于,植物
病原体,属于,疾病
意杨苗,病害,皱叶病
洋葱,别名,圆葱
萝卜,病害,软腐病
博落回,属于,植物
杂粮,包含,薯类
海棠花,科,蔷薇科
晶体敌百虫,防治,豆荚螟
文竹,属于,植物
敌草快,属于,除锈剂
白粉虱,属于,动物
敌百虫,防治,小地老虎
消毒剂,别名,高锰酸钾
大青叶,属于,植物
瓜类,属于,蔬菜
熊蜂,属于,动物
苦槐,别名,苦参
农用链霉素,防治,软腐病
农用硫酸链霉素可溶性粉剂,防治,菌核病
胡萝卜,虫害,四绒金龟甲
罗氏沼虾,属于,动物
晶体敌百虫,防治,潜叶蝇
龙芽草,属于,植物
彭泽鲫鱼,属于,动物
玉米,虫害,地老虎
甜菜夜蛾,科,夜蛾科
西兰花,病害,软腐病
盲椿象,属于,动物
榨菜,病害,病毒病
鱼,病害,鱼病
叶菜,属于,蔬菜
急性传染病,属于,疾病
球虫,属于,动物
黄瓜,属于,蔬菜
大棚蔬菜,属于,蔬菜
红富士,科,蔷薇科
西府海棠,属于,植物
杀虫剂,防治,蚜虫
布鲁氏菌病,属于,疾病
西葫芦,属于,茄果类蔬菜
苕子,属于,植物
百虫净,防治,菜青虫
唐菖蒲,属于,植物
黑茶,种,茶叶
白糖,属于,植物
施保克,防治,黑腐病
中国风青春,属于,辣椒
茯苓,别名,茯苓皮
粉掌,属于,花卉
巴西蘑菇,别名,姬松茸
鱼类,属于,动物
鸭舌草,属于,中药
水稻,包含,糯稻
杂粮,别名,稻谷
烟草,病害,炭疽病
桑皮,属于,中药
香果,属于,植物
蜱虫,别名,草爬子
徐稻3号,属于,中熟中粳稻
一串红,属于,农作物
银杏,属于,植物
瓜皮,别名,冬瓜
菖蒲,属于,中药
革兰氏阴性菌,属于,疾病
大叶荠菜,属于,荠菜
板蓝根注射液,属于,中药
耳血肿,属于,疾病
灭蚜威,防治,斑潜蝇
上海青,属于,植物
穿心红,属于,萝卜芽
第一茬瓜,属于,西瓜
霍乱,属于,疾病
茶树,病害,轮斑病
鹤望兰,科,旅人蕉科
豆科,科,豆科牧草
聚合草,属于,植物
茄子苗,属于,茄子
叶枯唑,防治,白叶枯病
玛丽华盛顿500号,属于,芦笋
银荆,属于,金合欢
白腐病,别名,腐烂病
柑桔,虫害,天牛
毒鱼,属于,动物
鲇鱼,属于,鱼类
蔬菜,属于,植物
兰花,病害,褐斑病
辣根,属于,植物
榆,属于,中药
芒硝,属于,中药
小金橘,属于,金橘
荧光假单胞杆菌,属于,微生物
速扑杂乳油,防治,黑刺粉虱
紫甘蓝,属于,植物
生石灰,别名,石灰
蘑菇,虫害,胡桃肉状菌
炙甘草,属于,植物
向日葵,虫害,蚜虫
小白菜,虫害,夜蛾类
早熟晚粳稻,属于,水稻
疱疹病毒科,属于,疾病
辣椒,病害,细菌性病害
舞毒蛾,属于,动物
枸杞,属于,植物
地塞米松,属于,西药
鸡,饲料,花生
意杨,属于,植物
病毒灵,防治,流感病毒
稻谷,科,禾本科
鹅,饲料,花生
星天牛,属于,动物
莱菔子,科,十字花科
黄萎病,别名,半边疯
向日葵,病害,茎腐病
多菌灵,防治,炭疽病
东方美人茶,属,茶
微生物,防治,病菌
碧桃,种,桃
栝楼,属于,植物
金雷多米尔,防治,疫病
蜻蜓,属于,昆虫
老枣树,属于,枣树
棕榈,属于,乔木和花灌木类
疟原虫,属于,微生物
核桃,虫害,胡桃醌
平菇,属于,微生物
豆科牧草,虫害,苜蓿叶象甲
牛结核疫苗,治疗,牛
中华猕猴桃,属于,植物
年宵花,属于,植物
禾本科杂草,科,禾本科
五氯硝基苯,防治,立枯病
艾叶,属于,中草药
真菌病,属于,疾病
灭蝇胺可湿性粉剂,防治,斑潜蝇
小麦,病害,小麦赤霉病
热性病,属于,疾病
敌克松,别名,敌磺钠
桂花,属于,花卉
鳙鱼,属于,鱼
琥胶肥酸铜可湿性粉剂,防治,菌核病
爱福丁,防治,蚜虫
鸡,属于,动物
棕竹,属于,植物
高效氯氰菊酯,防治,大造桥虫
代森锰锌可湿性粉剂,防治,叶枯病
乐果乳油,防治,葱蓟马
矮生芸豆,属于,蔬菜
蚜总科,属于,动物
海参,属于,中药
杀螟松,防治,豇豆荚螟
蚕卵,属于,动物
莜麦,科,禾本科
白菜,虫害,甘蓝夜蛾
藕,虫害,蚜虫
薯,属于,薯类
十三星瓢虫,属于,动物
抗虫威可湿性粉剂,防治,葱蚜
矢尖蚧,属于,动物
淡水鱼,病害,烂尾病
蛇眼病,属于,疾病
大豆,虫害,蚜虫
草菇,属于,食用菌
百脉根,科,豆科
辣椒,病害,白粉病
普力克,防治,霜霉病
大白菜,虫害,蚜虫
大葱,属于,蔬菜
腈菌唑乳油,防治,白粉病
大红袍瓜,属于,南瓜苗
黄豆,防治,蚜虫
水藻,属于,植物
异菌脲可湿性粉剂,防治,病害
当归,属于,植物
甲基二磺隆,防治,早熟禾
黑核桃,属于,植物
一串红,属于,植物
氯,属于,微生物
丝瓜,病害,霜霉病
母草,属于,植物
茄果类蔬菜,属于,蔬菜
垂丝海棠,属于,乔木和花灌木类
香菜,别名,胡荽
平菇,属于,真菌
等量式波尔多液,防治,青枯病
新诺明,属于,疾病
茼蒿,病害,霜霉病
青萝卜,科,十字花科
空心菜,属于,植物
保育猪,属于,疾病
油桐,属于,植物
杀毒矾,防治,叶枯病
苹果,病害,炭疽病
谷子,病害,纹枯病
吡虫啉可湿性粉剂,防治,蝼蛄
青菜,属于,小青菜
葱,虫害,葱蓟马
舌鳎,属于,动物
猪瘟,属于,传染病
菜果壮蒂灵,治疗,扁豆
高白鲑,属于,动物
鱼腥草,属于,植物
锚头蚤病,属于,动物
黑茶,属于,茶
青花菜,属于,蔬菜
罗非鱼,属于,鱼类
菜苜蓿,属于,植物
猪流行性感冒,属于,疾病
黄颡鱼,属于,动物
果树,病害,苹果褐斑病
候鸟,属于,动物
补骨脂,科,豆科
山毛豆,科,豆科
水稻,属于,植物
双甲脒,治疗,鹅
金合欢,属于,含羞草料
金针虫,目,鞘翅目
丝瓜,病害,猝倒病
梨锈病,属于,动物
乳酸菌,属于,微生物
百叶干病,属于,疾病
炭疽病,属于,疾病
农用链霉素可湿性粉剂,防治,小菜蛾
乙磷铝可湿性粉剂,防治,霜霉病
骨粉,属于,农作物
三棱,属于,植物
虾,别名,青虾
软腐病,病原,细菌
茼蒿,病害,猝倒病
丝瓜,虫害,螨类
早熟禾,科,禾本科
阿维菌素,防治,金龟子
出血病,属于,疾病
小麦,包含,弱筋小麦
炙甘草,科,豆科
伪狂犬病,属于,传染病
多菌灵可湿性粉剂,防治,果轮纹病
茶尺蠖,属于,动物
辟蚜雾,防治,烟蚜
阿苯达唑,治疗,鹅
黑树莓,科,蔷薇科
曲霉,属于,微生物
蜱虫,属于,动物
糯稻,科,禾本科
金边瑞香,别名,瑞香
敌杀死,防治,粘虫
红鳍东方鲀,属于,动物
敌克松可湿性粉剂,防治,水稻立枯病
嘧霉胺,属于,可湿性粉剂
掐不齐,别名,鸡眼草
敌敌畏,防治,草地螟
地榆炭,属于,中药
番茄,虫害,瓜绢螟
多菌灵,防治,杨树溃疡病
姜瘟,别名,软腐病
豆瓣菜,科,十字花科
慈菇,属于,植物
甜菜夜蛾,属于,动物
龟背竹,属于,植物
红茶,目,山茶
胡瓜鱼,属于,动物
水杉,属于,植物
高效氯氰菊酯,防治,美国白蛾
柏,属于,树
生鱼,属于,动物
马铃薯,病原,病毒
羊狂蝇,属于,动物
牛,饲料,高粱
碧桃,科,蔷薇科
茅草根,科,禾本科
种蝇,科,花蝇科
甜糯玉米,属于,玉米
氢氧化钠,别名,烧碱
盐酸环丙沙星,防治,桑疫病
有益菌,属于,微生物
桦树,属于,植物
双孢菇,属于,微生物
阿莫西林,治疗,兔
阿维菌素,防治,甜菜夜蛾
微孢子虫,属于,真菌
蓖麻叶,属于,中药
茼蒿,病害,茼蒿立枯病
鳅,属于,动物
黑尾叶蝉,属于,动物
南瓜,属于,中药
犬传染性肝炎,属于,疾病
马齿苋科,属于,植物
夜蛾科,属于,动物
犬布鲁氏菌病,属于,传染病
小黄鱼,属于,鱼类
百草一号,防治,夜蛾
坏死性肠炎,属于,疾病
苏铁,属于,农作物
花生网斑病,别名,褐纹病
水稻,别名,谷子
芦笋,虫害,蓟马
布鲁氏菌,属于,微生物
成年犬,属于,动物
花卉,属于,农作物
合欢属,属于,植物
月季,属于,花卉
吡虫啉,治疗,小麦
铁沙掌,防治,蚜虫
芥菜,属于,植物
玉米,属于,植物
桃粉蚜,科,蚜科
有棱丝瓜,科,葫芦科
土隆,防治,蝼蛄
棉籽,属于,棉花
蔷薇科,属于,植物
水晶兰,属于,植物
桃蛀螟,虫害,黄桃
磷酸二氢钾,防治,早衰
衣原体,属于,微生物
桂花,属于,植物
西瓜,虫害,蚜虫
速克灵可湿性粉剂,防治,菌核病
甲基托布津可湿性粉剂,防治,玉米大斑病
梨小食心虫,虫害,黄桃
吡虫啉可湿性粉剂,防治,蛴螬
果树,病害,叶片黄化
土隆,防治,地老虎
糯玉米,属于,甜糯玉米
波尔多液,防治,叶斑病
芜菁,别名,大头菜
水稻,病害,恶苗病
苹果斑点落叶病,别名,褐纹病
氰,属于,微生物
白茶,属于,茶
粉锈宁,防治,锈病
敌敌畏,防治,地老虎
灭幼脲,防治,枣步曲
大白菜,虫害,菜青虫
去甲肾上腺素,属于,疾病
豆科,属于,植物
雉鸡,别名,野鸡
犬瘟热,属于,疾病
可杀得可湿性粉剂,防治,半边疯
千屈菜,别名,水柳
木耳,属于,食用菌
杀毒矾可湿性粉剂,防治,叶枯病
马蹄莲,属于,植物
青虾,别名,虾
蚧壳虫,别名,介壳虫
土菌消,属于,杀菌剂
豆科牧草,病害,膨胀病
幼虫,属于,动物
多菌灵可湿性粉剂,防治,丹参根腐病
蛔虫,属于,疾病
白皮病,属于,疾病
腐霉利烟剂熏烟防治灰霉病,防治,病害
石榴皮,种,石榴
姬松茸,别名,小松菇
水仙,属于,花朵
生根粉,属于,植物
西瓜,属于,植物
紫花苜蓿,属于,苜蓿
西葫芦,属于,蔬菜
小麦,虫害,吸浆虫
病症,属于,疾病
巴克夏猪,属于,动物
口蹄疫疫苗,属于,灭活苗
武运粳24号,属于,迟熟中粳稻
辣椒,病害,青枯病
生鱼,别名,乌鱼
护树将军,防治,越冬病毒
螨虫,属于,动物
蔬菜,病害,病毒病
何首乌,属于,植物
花生油,属于,中药
大青叶,科,十字花科
芦笋,病害,立枯病
革兰氏阴性菌,属于,微生物
百菌清可湿性粉剂,防治,蛇眼病
组织滴虫病,属于,疾病
牛,饲料,豆粕
海蟑螂,属于,动物
菱角,虫害,蚜虫
苏云金杆菌,防治,甜菜夜蛾
茄果类,属于,蔬菜
茶云纹叶枯病,属于,疾病
烟蚜,属于,农作物
痘病毒科,科,病毒
干草,属于,植物
麦穗鱼,属于,鱼类
鱼尾葵,属于,鱼尾葵属
掐不齐,属于,中药
甲氨基阿维菌素苯甲酸盐,防治,蚜虫
鸡,饲料,苜蓿
白肌病,属于,疾病
意杨苗,属于,意杨
代森锰锌,防治,病毒病
棉粉虱,属于,动物
疮痂病,属于,疾病
草莓,病害,白粉病
四季豆,虫害,斜纹夜蛾
吸虫病,属于,疾病
艾叶,种,艾
牛蒡,属于,中药
牛筋草,科,禾本科
黑松,科,松科
油菜,别名,上海青
叶斑病,属于,疾病
辛硫磷,防治,烟青虫
黑翅土白蚁,属于,动物
藕,病害,褐斑病
辣椒,虫害,红蜘蛛
紫云英,属于,植物
克螨持乳油,防治,锈虫虱
玉米,包含,华农101
氢氧化铜,防治,软腐病
黄豆,防治,老虎害虫
驼羊,别名,美洲驼
琥胶肥酸铜可湿性粉剂,防治,叶枯病
菜花,别名,花菜
蝗虫,属于,害虫
枯萎病,属于,疾病
阿莫西林,属于,抗生素
万寿菊,属于,中药
万寿菊,属于,花卉
传染性鼻炎,属于,疾病
葡萄,病害,白粉病
犬细小病毒,属于,病毒
角斑病,属于,农作物
肉兔,属于,动物
水霉病,属于,动物
家兔,别名,兔
西瓜,虫害,白粉虱
披碱草,科,禾本科
黄荆,属于,植物
马尾松,属于,植物
真菌病,病原,真菌
烤烟,虫害,烟蚜
病毒A,防治,病毒病
猪,属于,动物
荔枝,属于,植物
甲基托布津可湿性粉剂,防治,小斑病
海螺,属于,中药
雷丸,属于,真菌
疥螨,纲,蛛形纲
千金子,科,禾本科
金边吊兰,属于,植物
水稻,包含,Y两优900
阿维菌素乳油,防治,麦蜘蛛
火棘,科,蔷薇科
茶翅蝽,属于,动物
蟹爪兰,属于,植物
香石竹,别名,康乃馨
酒石酸锑钾,属于,疾病
灌木,包含,杜鹃
君子兰,属于,年宵花
茶树,属于,植物
真菌,属于,微生物
孔雀石绿,属于,真菌
50 扑海因可湿性粉剂,防治,大蒜白腐病
黑松,属于,乔木
稻谷,属于,植物
山毛豆,属于,植物
乙磷铝可湿性粉剂,防治,病毒病
多菌灵可湿性粉剂,防治,根腐病
鱼尾葵属,科,棕榈科
美国白蛾,属于,动物
貉,别名,貉子
卡介苗,属于,疾病
烂尾病,属于,疾病
向日葵,虫害,红蜘蛛
龙虱,属于,动物
鸟巢蕨,别名,巢蕨
禽流感疫苗,治疗,鸡
头槽绦虫病,属于,动物
传染性支气管炎疫苗,治疗,鸡
山葡萄,属于,植物
青芦笋,属于,蔬菜
腐蹄病,属于,疾病
维生素A,属于,疾病
西兰花,属于,植物
蟹,属于,中药
雉,属于,动物
万家,防治,软腐病
林蛙,属于,动物
花菇,属于,真菌
青岛架豆,属于,植物
鳊鱼,属于,动物
鹤望兰,属于,花卉
黑牛,属于,动物
嘧霉胺悬浮剂,防治,霜霉病
鸡油菌,属于,微生物
农作物,包含,水果
脐橙,属于,植物
荔枝,病害,落果
环节动物,属于,动物
地克珠利,治疗,鸡
大蒜,虫害,细菌
公鸡,属于,动物
鹤草,属于,植物
链霉素,防治,白叶枯病
竹节秋海棠,属于,植物
苗木,属于,植物
毒死蜱,防治,绿盲蝽
斑蟊,属于,植物
胆红素,属于,疾病
蘑菇,虫害,菇蚊成虫
土鸡,别名,家鸡
新高脂膜,防治,蚜虫
犬钩端螺旋体病,属于,疾病
雪鸽,属于,动物
杀灭菊脂,防治,菜螟
猪肺疫,属于,疾病
脑膜炎,属于,疾病
乌药,属于,植物
羊羔,属于,动物
家猪,种,猪
鸭疫巴氏杆菌病,属于,疾病
焦白术,属于,中药
韭蛆,属于,动物
甘薯,属于,植物
雏鸡,病害,传染性法氏囊炎
呕吐,属于,疾病
黄瓜,病害,白粉病
豚鼠,属于,动物
火鸡,病害,盲肠肝炎
水牛,属于,动物
雏鹅,虫害,皂素
裂果,属于,植物
乐果乳油,防治,葱蚜
儿茶,属于,植物
鱼尾葵,属,鱼尾葵属
甲霜灵锰锌,防治,早疫病
甲氨基阿维菌素苯甲酸盐,防治,菜青虫
大肠杆菌,属于,疾病
地榆炭,科,蔷薇科
杀毒矾可湿性粉剂,防治,早疫病
苹果,属于,果树
抗菌药物,属于,疾病
马齿苋,属于,中药
毒死蜱,防治,大造桥虫
鸡油菌,属于,真菌
苏丹草,属于,植物
多菌灵可湿性粉剂,防治,叶斑病
菱角,病害,菱瘟
丹参,病害,丹参根结线虫病
V35,属于,草菇
天牛,属于,动物
荷兰豆,属于,植物
安泰生,别名,丙森锌
核桃树,别名,核桃
大麻,属于,植物
桃,虫害,梨小食心虫
鱼类,种,鱼
辛乳油,防治,桑毛虫
地蚕,属于,植物
葫芦科,属于,毛茛科
稻飞虱,虫害,黑肩绿盲蝽
橙,属于,果树
发财树,属于,花卉
水生植物,属于,植物
夏小白菜,属于,蔬菜
干姜,属于,植物
毛茛科,属于,植物
徐稻3号,属于,农作物
杜梨,属,梨属
家鸡,属于,动物
桃,虫害,食心虫
黑果枸杞,科,茄科
黑鱼,别名,乌鱼
菠菜,属于,蔬菜
啶虫脒,防治,粉虱
曲霉菌病,属于,真菌性疾病
环丙沙星,治疗,兔
海棠花,属于,乔木
徒长菌丝,属于,菌丝
扁豆,属于,中草药
花叶病,病原,黄花叶病毒
烤烟,属于,植物
姜科,属于,毛茛科
愈伤防腐膜,防治,腐烂病菌
香石竹,属于,多年生草本花卉
糖皮质激素,属于,疾病
彩叶马醉木,属于,日本马醉木
敌杀死,防治,叶蝉
光合细菌,属于,微生物
高粱,虫害,有机磷农药
大花惠兰,别名,虎头兰
生石灰,属于,中药
牛膝,属于,植物
苦参,科,豆科
葱,属于,蔬菜
玉米,虫害,玉米蓟
筒筒,属于,蔬菜
黏虫,属于,动物
橡皮树,属于,花木
中华绒螯蟹,属于,动物
芜菁甘蓝,科,十字花科
聊玉18号,属于,玉米
沉水植物,属于,植物
棉花,属于,棉田
木耳菜,别名,落葵
夏白45,属于,大白菜
鱼病,属于,疾病
海芋,属于,花卉
霉 锰锌可湿性粉剂,防治,叶斑病
水貂,目,食肉目
子猪,属于,疾病
菊科,属于,植物
鸭,饲料,豆粕
茅草根,属于,植物
籼稻,属于,农作物
烟青虫,属于,动物
病原菌,属于,微生物
茄子绵疫病,病原,真菌
辛硫磷乳油,防治,小猿叶虫
虻,属于,动物
鸡油菌,属于,中药
灭蚜威,属于,杀虫剂
黄豆,防治,青菜虫
硝酸钙液,防治,脐腐病
蝼蛄,属于,昆虫
大豆,病害,霜霉病
肝病,属于,疾病
紫花苜蓿,属于,豆科牧草
草棉,属于,植物
雉鸡,属于,动物
晶体敌百虫,防治,葱蓟马
芦笋,病害,褐斑病
甲霉灵,防治,病害
瑞锰锌,防治,软腐病
上海青青菜,属于,青菜
鳕鱼,属于,动物
梨,病害,梨锈病
鸭肝炎疫苗,治疗,鸭
鸭,属于,动物
婆婆纳,属于,植物
川芎,别名,香果
真菌,病原,枯萎病
食用菌,包含,银耳
生食萝卜,属于,蔬菜
蛇床,属于,中药
禾本科杂草,属于,植物
农利灵,防治,灰霉病
鹤望兰,属于,植物
仙人掌,属于,植物
芥菜,科,十字花科
狼尾草,属于,植物
金针菇,属于,真菌
香玲,属于,植物
桐油,属于,中药
象草,属于,植物
尖椒,属于,植物
烟青虫,属于,农作物
狂犬病毒,属于,病毒
毒死蜱,防治,美国白蛾
甲霜灵可湿性粉剂,防治,霜霉病
氯霉素,属于,微生物
棉花,虫害,盲蝽象
甲基硫菌灵可湿性粉剂,防治,叶斑病
新高脂膜,防治,菜青虫
杏,属于,果树
吡虫啉,防治,蚜虫
穿山甲,属于,野生动物
西瓜,虫害,红蜘蛛
大豆,病害,花叶病
夏小白菜,属于,小白菜
大白菜,病害,病毒病
破伤风梭菌,属于,细菌
球藻,属于,植物
蟹苗,属于,动物
甜菜,属于,植物
肉鸽,别名,乳鸽
锐劲特,治疗,烟草
康培2号 新高脂膜,防治,真菌性叶枯病
肉丝瓜,科,葫芦科
生地,属于,植物
蔬菜,虫害,病毒病
第二茬瓜雌花,属于,第二茬瓜
贝母,属于,植物
宁粳3号,属于,农作物
杀病毒药剂,防治,叶片黄化
徐稻3号,属于,植物
鹤虱,属于,植物
双甲脒,治疗,鸭
上海青,属于,冬春小白菜
水稻,包含,稻花香2号
天龙宝,防治,大造桥虫
木炭,属于,植物
白叶枯病,病原,真菌
榆,别名,榆树
胡椒,属于,香料
金黄色葡萄球菌,属于,细菌
托布津,防治,锈病
青木香,科,马兜铃
朱砂叶螨,目,螨目
恶霉灵,防治,小果症
扁豆,属于,植物
雁,纲,鸟
粉锈宁,防治,白粉病
土鸡,别名,鸡
华山松,属于,中药
阿莫西林,治疗,鹅
多菌灵,防治,苹果炭疽病
荔枝,属于,果园
凤仙花科,属于,植物
鸡,饲料,高粱
支气管肺炎,属于,疾病
细菌,病原,软腐病
寄生蜂,属于,动物
草履虫,属于,动物
杏仁,别名,杏
抗毒素,防治,病毒病
抗虫棉,属于,棉花
李子,属于,树
鲮鱼,属于,动物
左旋咪唑,治疗,鸡
景龙宝,属于,植物
哺乳动物,虫害,疥螨
野艾,属于,草本
肉鸽,属于,动物
烟蚜,别名,桃蚜
番茄,病害,小果症
牛筋草,属于,植物
鸭传染性浆膜炎,属于,疾病
好立克,防治,真菌性叶枯病
西府海棠,属于,乔木和花灌木类
鳝,属于,动物
烟叶,属于,植物
多西环素,防治,支原体肺炎
大腹皮,科,棕榈科
兰花,虫害,蚜虫
洋葱,属于,瓜果类蔬菜
豇豆,病害,煤霉病
腐皮病,属于,疾病
胞蚴,属于,动物
扇贝,属于,动物
水稻,包含,杂交水稻
桔,别名,桔梗
辣椒,虫害,烟青虫
普鲁卡因,属于,化学药品
牲畜,病害,人畜共患病
白毛,属于,茶
蚕蛹,属于,中药
锐劲特,防治,斜纹夜蛾
茶花,属于,花卉
鼠伤寒沙门氏菌,属于,细菌
黄桃,病害,桃褐腐病
板叶荠菜,别名,大叶荠菜
杂交水稻,属于,水稻
链球菌病,属于,疾病
苏州青,属于,冬春小白菜
野豌豆,属于,植物
翠菊,属于,花卉
板蓝根注射液,治疗,鸡
海螺,别名,田螺
食用菌,包含,香菇
红薯,别名,甘薯
红掌,属于,花卉
草本,属于,植物
枣步曲,别名,项门吃
加州72,属于,芦笋
金鱼藻,属于,植物
高效氯氰菊酯,防治,棉铃虫
敌百虫,防治,红蜘蛛
老鼠,饲料,花生
辛硫磷乳油,防治,小菜蛾
旱獭,属于,动物
食用菌,属于,微生物
桃,属于,果树
溴氰菊脂,防治,黄条跳甲
小麦,包含,强筋小麦
辛硫磷乳油,防治,地下害虫
野燕麦,科,禾本科
草莓,病害,炭疽病
黄曲霉菌,属于,细菌
地衣芽孢杆菌,属于,细菌
苏云金杆菌,属于,微生物
桃小食心虫,属于,动物
鲤,属于,鱼
玉米,包含,登海605
白叶枯病,属于,疾病
扑海因,防治,灰霉病
马铃薯,别名,土豆
吡虫啉,防治,白粉虱
肾上腺素,属于,疾病
痢疾,属于,疾病
胡桃,别名,核桃
毒麦,属于,植物
海湾扇贝,属于,动物
巢蕨,属于,中药
潜叶蝇,属于,昆虫
鹰嘴豆,属于,植物
酸中毒,属于,疾病
高羊茅,科,禾本科
水稻,虫害,稻飞虱
鲜切花,属于,花卉
锌硫磷毒沙,防治,玉米螟
鲫鱼,属于,动物
