Entity1,Relation,Entity2
大白菜,属于,叶菜
茶碱,属于,动物
敌磺钠可溶性粉剂,属于,农作物药物
食道阻塞病,属于,动物疾病
脓肿,防治,鱼石脂
川芎,属于,农作物
蒲公英,属于,花卉
猪苓,属于,中药
辛硫磷,防治,烟青虫
白玉兰,属于,农作物
植病灵,属于,农作物药物
接穗黄瓜,属于,农作物
多苗灵,属于,农作物药物
炙甘草,属于,中药
蛆,属于,害虫
水杉,属于,农作物
沙门杆菌,属于,害虫
小绿叶蝉,属于,害虫
茶叶,属于,农作物
草本,目,茶叶
葛藤,属于,农作物
丹参,感染,丹参根结线虫病
酸梅,属于,农作物
鞘翅目,目,黄条跳甲
镇稻11号,属于,稻
新城疫病毒,属于,微生物
木耳,属于,农作物
扑海因可湿性粉剂,防治,黑腐病
鸡,感染,盲肠肝炎
过敏反应,属于,疾病
松,属于,农作物
维生素制剂,属于,畜牧业药物
松节油,属于,畜牧业药物
蛆,属于,动物
西瓜素,属于,农作物药物
链霉素液,属于,农作物药物
白芦笋,属于,疾病
三苯甲咪唑,属于,疾病
磺胺氯吡嗪钠药,属于,畜牧业药物
黄曲条跳甲,属于,害虫
甲基托布津粉剂,属于,农作物药物
禾本科,科,雀稗
白皮松,属于,农作物
胡麻病菌,属于,农作物病害
菇菌清,防治,胡桃肉状菌
中华猕猴桃,别名,猕猴桃
黑鳃病,属于,动物疾病
小黄鱼,属于,动物
浮游农作物,属于,农作物
鸭舌草,属于,农作物
菱角,被危害,叶蝉
毫升,属于,微生物
病毒,防治,畜牧业药物
川朴,属于,农作物
速灭杀丁,属于,农作物药物
椿树,属于,农作物
银荆,别名,澳洲白色金合欢
若虫,属于,害虫
脓肿,属于,疾病
金边瑞香,属于,农作物
农作物曲霉清水剂,属于,农作物药物
熊猫,感染,犬瘟热
黏虫,属于,农作物虫害
鳝,属于,动物
茯苓,属于,农作物
草菇,属于,蔬菜
蛔虫,属于,疾病
鲤碘泡虫,属于,害虫
吗胍乙酸铜,属于,农作物药物
恐水症,属于,动物疾病
幼犬,属于,动物
冬瓜,感染,绵腐病
凤尾草,属于,农作物
寄生虫病,属于,动物疾病
氧化剂,属于,硝酸银
车前子,属于,畜牧业药物
果类蔬菜,属于,蔬菜
桂皮,属于,农作物
蛤蜊,属于,害虫
猪伪狂犬,属于,动物疾病
鲈鱼,别名,花鲈
真菌,属于,微生物
火鸡滴虫,属于,害虫
辣椒,感染,灰霉病
花苜蓿,属于,农作物
上海青青菜,属于,农作物
板栗干枯病,属于,农作物病害
银耳,属于,真菌
兰花,感染,褐斑病
四季豆,感染,细菌性角斑病
氧化剂,属于,氯酸
藤蔓农作物,属于,农作物
兔,别名,家兔
秋牡丹,属于,毛茛科
牛肺疫,属于,动物疾病
艾,属于,农作物
代森锰锌,防治,疫病
苜蓿,被危害,蚜虫
茼蒿,属于,农作物
褐飞虱,属于,农作物虫害
金黄色葡萄球菌,属于,细菌
鸭传染性浆膜炎,属于,动物疾病
松树,属于,农作物
虎头兰,别名,大花惠兰
殖酸硼钙,属于,农作物药物
公鸡,属于,家鸡
葛藤,别名,葛根
木耳菜,属于,农作物
海韭菜,属于,中药
余蜂,属于,动物
美邦索洛米,属于,农作物药物
石灰,别名,生石灰
复硝酚钠水剂,属于,农作物药物
杀灭菊脂,属于,农作物药物
普鲁卡因,属于,化学药品
肝病,属于,疾病
白茶,属于,茶
中熟中粳稻,属于,水稻
农作物病害,属于,细菌
树苗,属于,农作物
鞘翅目,目,天牛
灰霉病,属于,农作物病害
代森锰锌可湿性粉剂,防治,霜霉病
江鱼,属于,动物
青蚕豆,属于,蚕豆
胆汁酸,属于,疾病
羊鼻蝇蛆病,属于,动物疾病
腐霉利可湿性粉剂,防治,病害
疫病,属于,农作物病害
雉,属于,中药
藤蔓农作物,属于,农作物
柏树,别名,侧柏叶
黑木耳,属于,中药
菌类,属于,真菌
番茄,感染,果锈病
家兔,属于,动物
绵羊,属于,动物
高锰酸钾,属于,农作物药物
香菇,属于,农作物
秋海棠科,科,竹节秋海棠
春雷霉素,属于,农作物药物
水葫芦,属于,农作物
公鹅,属于,动物
氨中毒,属于,动物疾病
烟叶,属于,畜牧业药物
菲醌,防治,丹参根腐病
阿托品,属于,畜牧业药物
母猪,属于,动物
母牛,属于,动物
仙人球,属于,中药
香菇,属于,农作物
硼酸水,属于,动物疾病
百叶干病,属于,动物疾病
种薯,属于,甘薯
灰飞虱,属于,害虫
乌鱼,别名,生鱼
瘤胃臌气病,属于,动物疾病
韭菜,属于,农作物
西瓜,属于,农作物
西瓜,被危害,红蜘蛛
动物,感染,头槽绦虫病
黄芩,属于,畜牧业药物
丰辉,属于,农作物
美人焦,属于,农作物
犬布鲁氏菌病,属于,疾病
秋菠菜,属于,农作物
蜜虫,别名,麦蚜
辛硫磷乳油,防治,软腐病
高锰酸钾溶液,属于,畜牧业药物
烤烟,感染,花叶病
花生青枯病,属于,农作物病害
鳙,属于,动物
加州873,属于,芦笋
桃小食心虫,属于,农作物虫害
枣果,被危害,美国白蛾
牛蒡,属于,农作物
白鲢,别名,鲢
熏烟剂,属于,农作物药物
茶,别名,茶叶
茯神,属于,畜牧业药物
茶树,属于,农作物
桑宁,属于,农作物药物
病毒性肺炎,属于,疾病
鳗鲡,属于,害虫
珠颈斑鸠,属于,动物
哺乳仔猪,属于,动物
草莓,被危害,斜纹夜蛾
武运粳23号,属于,农作物
禾本科,科,茅草根
动物疾病,属于,传染病
兔,属于,动物
香芹,别名,西芹
巴氏杆菌,属于,微生物
狗牙根,属于,农作物
水蛭,属于,动物
黑籽南瓜,属于,农作物
真菌,病原,纹枯病
糖皮质激素,属于,疾病
海参,属于,动物
成蟹,属于,动物
除草通,属于,农作物药物
夏早生三号,属于,农作物
葫芦科,属于,农作物
产奶牛,属于,动物
鸡腿菇,属于,农作物
香附,属于,畜牧业药物
寄生虫,属于,疾病
柿树,属于,树
尿血,属于,疾病
青豆,别名,青豌豆
食盐,别名,氯化钠
草木灰,属于,农作物药物
烟,属于,农作物
鸡异刺线虫病,属于,动物疾病
獭兔子,属于,动物
大黄炭,属于,中药
紫荆,属于,农作物
菊花,属于,畜牧业药物
冬青,属于,小灌木类
大豆霜霉病,属于,农作物病害
大蒜,感染,真菌性叶枯病
林可霉素,属于,畜牧业药物
黑绒金龟子,属于,农作物虫害
乙霉威,属于,农作物药物
海生素,属于,农作物药物
杨树,属于,农作物
天正春玉,属于,农作物
华支睾吸虫,属于,害虫
硫酸阿托品注射液,属于,西药
秋红苕,别名,红苕
花卉,属于,中草药
商品鸡,属于,动物
西瓜,属于,瓜类作物
蚕豆,防治,菜果壮蒂灵
鳅,属于,动物
菠菜,属于,叶菜
好灭丹,防治,绿盲蝽
花木,属于,农作物
金针菇,属于,真菌
脾俞,属于,畜牧业药物
锅底灰,属于,畜牧业药物
连翘,属于,畜牧业药物
扑虱灵可湿性粉剂,防治,黑刺粉虱
冠状病毒,属于,害虫
金心吊兰,属于,花卉
桧柏,属于,农作物
武运粳23号,属于,农作物
小松菇,属于,农作物
柑橘,属于,果园
酒椰子,属于,农作物
红薯,属于,农作物
西红柿,感染,青枯病
黑枯病,属于,农作物病害
四季海棠,属于,农作物
杂色鳝苗,属于,动物
蔷薇科,科,红富士
空心菜,属于,农作物
小苏打,属于,畜牧业药物
梨,属于,农作物
晶体敌百虫,防治,种蝇
姜,属于,农作物
菊酯,属于,化学药品
桑树,属于,桑
硫丹,防治,美国白蛾
苦荬菜,属于,农作物
稻谷,属于,农作物
甘草,属于,畜牧业药物
青茶叶,属于,畜牧业药物
黑松,属于,农作物
双孢菇,属于,农作物
桔梗科,科,桔
茶青,属于,农作物
鳙鱼,属于,动物
番茄花脸,属于,农作物病害
豇豆,属于,农作物
绿爽,防治,蝼蛄
鳊,属于,动物
东方美人茶,属于,农作物
芦笋,被危害,蓟马
土隆,属于,农作物药物
滑膜炎,属于,疾病
藕,属于,农作物
细菌性肠炎,防治,痢菌净
厚脸皮,属于,农作物
甲硝唑,属于,畜牧业药物
大黄鱼,属于,动物
代森锰锌可湿性粉剂,防治,菜青虫
除虫精粉,属于,农作物药物
杏鲍菇,属于,微生物
佛手柑,属于,中药
氧化乐果,防治,飞虱
棉籽,属于,棉花
栀子,属于,花木
沙门氏菌,属于,害虫
放线菌,属于,农作物
蛛形纲,纲,螨
夏丝一号,属于,农作物
玉米,被危害,蚜虫
头槽绦虫病,属于,疾病
农作物药物,防治,农作物病害
豆角,属于,蔬菜
花生油,属于,中药
西红柿,防治,菜果壮蒂灵
燕子掌,别名,景天树
盐酸土霉素,属于,畜牧业药物
含笑,属于,农作物
彭泽鲫,属于,动物
梨小食心虫,属于,害虫
豆瓣菜,被危害,蚜虫
甜椒,感染,疫病
高效氯氟氰菊酯,防治,种蝇
五氯硝基苯,防治,立枯病
鲮鱼,属于,中药
红斑,属于,动物疾病
洞庭1号,属于,农作物
漂浮农作物,属于,农作物
地豆,别名,花生
夜蛾科,科,棉铃虫
冠状病毒,属于,病毒
腐植酸,属于,农作物
鳃腺炎病,属于,动物疾病
盗蜂,属于,动物
葡萄,感染,白腐病
泽泻科,属于,农作物
富士1号乳油,属于,农作物药物
异菌脲可湿性粉剂,防治,病害
姜科,属于,农作物
关节炎,属于,动物疾病
白鲳,属于,动物
敌克松,属于,农作物药物
壁虎,属于,野生动物
大麦粒,属于,农作物
黑翅土白蚁,属于,动物
次氯酸钠,属于,畜牧业药物
恶病质,属于,疾病
芦笋,感染,根腐病
红掌,属于,年宵花
黄山松,属于,农作物
菜果壮蒂灵,属于,农作物
三唑酮乳油,属于,农作物药物
小麦,感染,麦叶蜂
黒斑病,属于,农作物病害
白毛,属于,农作物病害
寄生蜂,属于,动物
烂铃,属于,农作物病害
大便不通,属于,疾病
秋红苕,属于,农作物
己唑醇,属于,农作物药物
彩叶马醉木,属于,树种
丰产灵,属于,农作物药物
马铃薯,属于,农作物
石榴,属于,石榴皮
线虫病,属于,农作物病害
李子,属于,树
禾本科杂草,属于,农作物
肉用仔鸡,属于,动物
果树,被危害,平小卷叶虫
利凡诺,属于,畜牧业药物
柿树,属于,农作物
苦草,属于,农作物
母野猪,属于,动物
蜜香红茶,属于,茶
栀子,被危害,害虫
青木香,属于,畜牧业药物
禾本科,科,桐树
松脂酸铜,属于,农作物药物
布鲁氏菌,属于,细菌
玉米,感染,白花叶病
芫荽,属于,农作物
土传病害,属于,农作物病害
混百菌清,属于,农作物药物
福美双,属于,农作物药物
氯化钾,属于,畜牧业药物
猪伪狂犬病,属于,动物疾病
叶枕瘟,属于,农作物病害
乌洛托品,属于,畜牧业药物
鼠兔,属于,动物
病毒,属于,毒株
黄鲇鱼,属于,动物
黄曲霉菌,属于,细菌
枕头瓜,属于,南瓜苗
牵牛花,属于,农作物
番茄筋腐病,属于,农作物病害
克螨灵 吡虫啉,防治,白粉虱
食肉动物,属于,动物
细菌性肠炎,属于,动物疾病
迟熟中粳稻,属于,农作物
上呼吸道感染,属于,动物疾病
茯神,属于,中药
鸟眼斑,属于,农作物病害
黄豆,防治,青菜虫
青鱼,属于,动物
蒲公英,属于,农作物
竹,属于,农作物
鳕鱼,属于,鱼类
杀毒矾,属于,农作物药物
夏白菜,属于,农作物
海棠花,属于,农作物
恶霉灵,防治,茼蒿立枯病
景丰宝,属于,西瓜
万寿菊,属于,中药
烟草,感染,青枯病
武运粳24号,属于,迟熟中粳稻
饲料性毛细血管变性症,属于,动物疾病
大头菜,属于,农作物
病毒性出血病,属于,动物疾病
烂茄子,属于,农作物病害
疫苗反应,属于,动物疾病
农作物,感染,腐烂病
强尔心,属于,畜牧业药物
簕杜鹃,属于,农作物
白茅根,属于,畜牧业药物
杜鹃花,属于,农作物
万灵可溶性粉剂,属于,农作物药物
薏苡,别名,六谷子
林克霉素,属于,畜牧业药物
茶麸,属于,畜牧业药物
水产动物,属于,动物
萝卜属,属于,农作物
广香,属于,畜牧业药物
安克锰锌,属于,农作物药物
麦叶蜂,属于,害虫
杀白蚁药,属于,农作物药物
辛硫磷乳油,防治,小菜蛾
红鳍东方鲀,属于,动物
消炎药,属于,害虫
稻谷,属于,水稻
细菌病毒,属于,微生物
痘病毒科,属于,病毒
沙门氏菌病,属于,疾病
谷子,感染,纹枯病
瓜皮,属于,中药
生菜,属于,农作物
双孢子球虫,属于,害虫
应天2号多功能动物制剂,属于,农作物药物
大地英雄,防治,蝼蛄
花生,感染,锈病
板栗,属于,果树
紫云英,属于,农作物
水肿,不良反应,金霉素
莱青虫,属于,农作物虫害
彩椒,属于,农作物
疫苗佐剂,属于,畜牧业药物
养花鲢夏花,属于,动物
雷丸,属于,农作物
猪传染性胃肠炎,属于,疾病
茄科,属于,农作物
南粳44,属于,农作物
冬瓜,属于,瓜果类蔬菜
害虫,属于,蜱虫
环形毛细线虫病,属于,动物疾病
马齿苋科,属于,农作物
高等农作物,属于,农作物
苦楝树根皮,属于,畜牧业药物
肉用子鸽,属于,动物
小麦,被危害,穗蚜
竹叶,属于,农作物
硫酸锌,防治,白花叶病
青花菜,被危害,菜青虫
辣椒幼苗,属于,辣椒
藻类,属于,微生物
鲫鱼,属于,动物
鱼种,属于,动物
辣椒,感染,疫病
大黄苏打片,属于,畜牧业药物
苯来特,属于,农作物药物
硫磺粉,属于,农作物药物
青虾,属于,动物
莴苣,属于,中药
雪玫,属于,农作物
广玉兰,属于,农作物
香玲,属于,农作物
枫杨,属于,农作物
壮年兔,属于,动物
新霉素,属于,畜牧业药物
绿荆,属于,金合欢
叶茎部病害,属于,农作物病害
黏虫,属于,害虫
吸血昆虫,属于,害虫
棚菜,别名,大棚蔬菜
干酵母片,属于,畜牧业药物
葡萄皮尔斯,属于,农作物病害
土菌消 水剂,防治,茼蒿立枯病
大肠,属于,直肠
仔鹿,属于,动物
50 扑海因可湿性粉剂,防治,大蒜白腐病
甲氨基阿维菌素苯甲酸盐,防治,甜菜夜蛾
鹤虱,属于,农作物
盲蝽象,属于,农作物虫害
白兰花,属于,农作物
侧殖吸虫病,属于,动物疾病
生理盐水,属于,畜牧业药物
早竹,属于,农作物
硫酸锌,属于,农作物药物
成蝇,属于,害虫
褐飞虱,属于,害虫
旋花科,科,空心菜
代森铵溶液,属于,农作物药物
香葱,被危害,潜叶蝇
李子,属于,农作物
克螨敌,防治,螨类
犬科动物,属于,动物
华支睾吸虫,属于,疾病
厚朴,属于,畜牧业药物
害虫敌,属于,畜牧业药物
石榴,属于,花卉
豆饼毒饵,属于,农作物药物
氯化钙液,属于,农作物药物
辣椒,感染,根腐病
吊瓜,感染,白粉病
中国水仙,别名,水仙花
合欢树,属于,乔木
鸽子,属于,动物
安痢,属于,畜牧业药物
醛,属于,甲醛
葡萄,感染,干旱
氯霉素,属于,微生物
苦瓜苗,属于,农作物
助壮素,属于,农作物药物
菜青虫,属于,农作物虫害
三角梅,属于,中药
胡萝卜,感染,黑腐病
布鲁氏菌,属于,疾病
白菜,属于,农作物
半支莲,属于,农作物
青芦笋,属于,农作物
新高脂膜,防治,蚜虫
霉素,属于,畜牧业药物
甲基硫菌灵可湿性粉剂,防治,大蒜白腐病
棉酚,属于,疾病
大葱,感染,紫斑病
黄桃,属于,农作物
叶枯病,别名,茶云纹叶枯病
动物膜,属于,农作物药物
香荽,属于,农作物
日本马醉木,属于,农作物
鹤望兰,属于,农作物
汉白玉,属于,农作物
草爬子,属于,害虫
敌百虫,防治,蒜蛆
福鱼康,属于,畜牧业药物
聚合草,属于,农作物
稻温病,属于,农作物病害
辣椒苗,属于,辣椒
死鸡,属于,动物
牛腿瓜,属于,南瓜苗
商陆,属于,畜牧业药物
泥鳅,属于,动物
猪气喘病,属于,动物疾病
水杉,属于,农作物
白胡椒,属于,中药
大葱,属于,蔬菜
敌克松,防治,猝倒病
腐霉利,别名,速克灵
中生菌素,属于,农作物药物
肝癌,属于,微生物
香茅,属于,农作物
毒死蜱,属于,农作物药物
体温稍高,属于,动物疾病
大片形吸虫,属于,害虫
指环虫科,属于,害虫
菊科,科,莴笋
毛细线虫病,属于,动物疾病
维生素C,属于,畜牧业药物
葡萄,感染,白粉病
杜鹃花科,科,彩叶马醉木
肉兔,属于,动物
马兜铃,属于,青木香
油茶芽,属于,农作物
农作物,感染,稻瘟病
白芷,属于,畜牧业药物
泰乐菌素效价,属于,畜牧业药物
大蒜,属于,畜牧业药物
灶心土,属于,中药
普通丝瓜,属于,农作物
大红袍,属于,农作物
功夫乳油,属于,农作物药物
姜种,属于,大姜
王铜,属于,农作物药物
脐橙,属于,农作物
明太鱼,属于,动物
杜邦万克灵,防治,四绒金龟甲
白扁豆,属于,农作物
孔雀石绿,属于,真菌
磷酸二氢钾,属于,农作物药物
轮状病毒,属于,病毒
羊茅,属于,农作物
叶锈病,属于,农作物病害
辣椒幼苗,属于,农作物
吡虫啉可湿性粉剂,防治,蛴螬
立枯病,属于,农作物病害
香葱,被危害,葱蚜
羊群,属于,动物
盲肠肝炎,属于,动物疾病
香油,属于,畜牧业药物
丙硫咪唑,属于,畜牧业药物
螨净乳油,属于,农作物药物
兰花,属于,农作物
硫酸铜溶液,属于,农作物药物
兔瘟,属于,疾病
斜纹夜盗蛾,属于,农作物虫害
抗生素,属于,农作物药物
疟原虫,属于,疾病
地塞米松磷酸钠,属于,畜牧业药物
油菜,属于,青杂2号
紫甘蓝,属于,农作物
肠道性疾病,属于,动物疾病
水花生,属于,农作物
菌虫枪手,属于,畜牧业药物
油乳剂灭活苗,属于,畜牧业药物
三唑磷乳油,属于,农作物药物
李子,属于,农作物
蛛形纲,纲,疥螨
甲敌粉,属于,农作物药物
羊羔,属于,动物
杏仁,属于,农作物
红眼病,属于,疾病
小青菜,属于,农作物
白羽肉鸡,属于,动物
恶性水肿,属于,疾病
保育猪,属于,疾病
天龙宝,属于,农作物药物
稻瘟病,属于,农作物病害
生鱼,属于,动物
龙芽草,科,蔷薇科
脆肉鲩,属于,动物
菇蕾,属于,农作物
双青丝瓜,属于,有棱丝瓜
菜苜蓿,属于,农作物
舌鳎,属于,动物
硫酸链霉素可溶性粉剂,防治,软腐病
蔓割病,属于,农作物病害
家畜,属于,动物
鸽,属于,动物
草莓,被危害,白粉虱
薯类,属于,薯
蓝圆热毒清,属于,畜牧业药物
耳螨,属于,疾病
茄科,科,甜椒
万家,属于,农作物药物
黄曲条跳甲,属于,农作物虫害
萝卜,别名,青萝卜
黄曲霉,属于,农作物虫害
蒜苗,属于,农作物
次碳酸铋,属于,畜牧业药物
黄瓜,被危害,小菜蛾
金态,属于,畜牧业药物
白叶枯病,属于,农作物病害
绿肥萝卜,属于,萝卜芽
菇盖,属于,农作物
鳊鱼,属于,动物
西葫芦,属于,茄果类蔬菜
老鼠,属于,小白鼠
栀子,属于,畜牧业药物
野蛞蝓,属于,农作物
豆类,属于,农作物
毒鼠药,属于,畜牧业药物
骨灰,属于,畜牧业药物
竹类,属于,农作物
鹿病,属于,动物疾病
井冈霉素,属于,农作物药物
矮生芸豆,属于,农作物
冬春小白菜,属于,小白菜
疣霉净,属于,农作物药物
维生素A,属于,疾病
葱叶,属于,农作物
新城疫病毒,属于,害虫
敌草隆,属于,除锈剂
多菌灵,防治,赤霉病
结节病,属于,疾病
甜椒,感染,软腐病
青花菜,被危害,甜菜夜蛾
四季豆,被危害,豆荚螟
巢蕨,属于,农作物
水仙,属于,中药
硝酸钙液,属于,农作物药物
敌杀死,防治,草地螟
克蚜星浮油,属于,农作物药物
藏猪,属于,动物
百草枯,属于,农作物药物
元丰,属于,农作物
丰登,属于,农作物药物
苹果,被危害,红蜘蛛
菌毒杀,属于,畜牧业药物
畜,属于,动物
辣椒苗,属于,农作物
樟脑磺酸钠,属于,畜牧业药物
郁金香,属于,农作物
郁金香,属于,花卉
中华绒螯蟹,别名,河蟹
绿叶菜,属于,蔬菜
中国水仙,属于,花卉
花朵,属于,农作物
吡虫啉,防治,白粉虱
菊酯,属于,农作物药物
宁粳3号,属于,水稻
甲基托布津,防治,紫斑病
正大脆芹,属于,农作物
荧光假单胞杆菌,属于,细菌
徒长菌丝,属于,菌丝
黄芪,属于,中药
牛口舌生疮,属于,动物疾病
桑皮,属于,中药
煤气中毒,属于,动物疾病
安泰生,属于,农作物药物
彩叶马醉木,属于,日本马醉木
上海青青菜,属于,青菜
球虫疫苗,属于,害虫
乳鸽,别名,肉鸽
禽,属于,动物
三环唑,属于,农作物药物
链球菌病,属于,动物疾病
藏药,属于,中药
水晶兰,属于,花卉
龙虾,属于,动物
短阴后园线虫,属于,害虫
接触性传染病,属于,动物疾病
萝卜,属于,青萝卜
减蛋综合征,属于,动物疾病
禾本科,科,白茅根
佛手瓜,属于,农作物
水霉病,别名,肤霉病
口蹄疫,属于,动物疾病
莱菔子,属于,中草药
犬钩端螺旋体病,属于,动物疾病
姬松茸,属于,微生物
土隆,防治,蝼蛄
桑树,属于,农作物
鱼腥草注射液,属于,畜牧业药物
大蟾蜍,属于,动物
冠状病毒,属于,疾病
竹叶,属于,农作物
鸭群,属于,动物
小青菜,属于,青菜
茉莉属,属于,农作物
中华绒螯蟹,别名,螃蟹
盐酸克伦特罗,属于,畜牧业药物
小麦,感染,纹枯病
菠萝蜜,属于,农作物
曲霉菌病,属于,疾病
隐性乳房炎,属于,动物疾病
葛根,属于,农作物
乐果,防治,红蜘蛛
抗菌剂,属于,农作物药物
棉花,被危害,玉米螟
病毒,属于,害虫
肝泰乐片,属于,畜牧业药物
猪病,属于,疾病
水肿病,属于,疾病
硒,属于,畜牧业药物
桔梗科,属于,农作物
母羊,属于,动物
薏苡,属于,农作物
小黄鱼,属于,鱼类
赤芍,属于,害虫
蛛形纲,纲,硬蜱
美洲驼,属于,动物
稻飞虱,属于,农作物虫害
白毒灵一号,属于,农作物药物
不安,属于,动物疾病
银荆,属于,农作物
百菌清600,属于,农作物药物
丧失消化吸收功能,属于,动物疾病
香葱,感染,霜霉病
锥虫,属于,害虫
扁豆,别名,四季豆
井冈多菌灵悬浮剂,属于,农作物药物
驴,属于,动物
柑桔,被危害,粉虱
犬传染性肝炎高免血清,属于,畜牧业药物
枸杞,属于,农作物
杭白芍,属于,畜牧业药物
水貂,属于,动物
澳洲细叶金合欢,属于,农作物
葱白,属于,畜牧业药物
施基肥拌药,属于,农作物药物
菌丝,属于,微生物
早稻,属于,农作物
杨树林,属于,农作物
甲氨基阿维菌素苯甲酸盐,别名,甲维盐
番薯,属于,农作物
鸡白痢,属于,传染病
琥胶肥酸铜可湿性粉剂,防治,菌核病
肾变病型,属于,动物疾病
猪棘头虫,属于,害虫
病毒病,属于,农作物病害
柏树,属于,农作物
葱蚜,属于,农作物虫害
草菇V238,属于,草菇
腈菌唑乳油,防治,疫病
滤食性鱼类,属于,动物
链霉素,属于,畜牧业药物
辣椒,感染,软腐病
危赤皮病,属于,动物疾病
柳,属于,树
甘油,属于,畜牧业药物
水芋,属于,农作物
野苜蓿,别名,花苜蓿
大白菜,属于,农作物
枸杞子,属于,农作物
茉莉属,属于,花卉
锦鲤,属于,动物
茯苓,被危害,白蚁
杀螟松,属于,畜牧业药物
成鱼,属于,动物
辣椒,感染,烟青虫
猪,属于,动物
幼虫,属于,农作物虫害
鲤,属于,动物
秋莴苣,属于,农作物
红掌,属于,花卉
百草肠清,属于,畜牧业药物
肝硬化,防治,肝泰乐片
石竹花,属于,花卉
桑白皮,属于,害虫
肌肉白浊病,属于,动物疾病
香玲,属于,农作物
1605粉,防治,吸浆虫
农作物虫害,属于,害虫
杀毒矾,防治,褐斑病
高锰酸钾溶液,属于,农作物药物
仙人掌,属于,农作物
落叶病,属于,农作物病害
灭虫丁,属于,畜牧业药物
硫代硫酸钠注射液,属于,畜牧业药物
真菌,病原,白叶枯病
穿山甲,属于,野生动物
环丙氨嗪,别名,灭蝇胺
北京小杂56号,属于,农作物
多粘类芽孢杆菌,属于,细菌
世高,属于,农作物药物
敌敌威乳剂,属于,农作物药物
硕丹,防治,大造桥虫
莱农14号,属于,农作物
