实体1,关系,实体2
代森锰锌,疫病,防治
生理盐水,脱水,防治
萝卜,菜青虫,被危害
虾,青虾,别名
桃,梨小食心虫,被危害
苜蓿,蚜虫,被危害
菊酯类农药,桃蛀螟,防治
塘鱼,鱼,属于
早熟禾,禾本科,科
猪瘟,传染病,属于
梨,梨黑星病,感染
蚕豆,病毒病,感染
稻蓟马,病毒病,导致
丝瓜,霜霉病,感染
棉花,黄萎病,感染
紫花苜蓿,苜蓿,属于
硫磺,硫磺粉,别名
鲤,鱼,属于
链霉素,病毒沧迦病,防治
生石灰,细菌性软腐病,防治
丝瓜,蚜虫,被危害
根腐病,真菌,病原
番茄,黄化曲叶病毒病,感染
葡萄,干旱,被危害
大蒜,细菌,被危害
乙型脑炎,传染病,属于
恶霉灵,猝倒病,防治
番茄,疫病,感染
病毒,花叶病,导致
马铃薯,病毒,病原
青菜,十字花科,科
黄瓜,细菌性角斑病,感染
苦参碱,桃蛀螟,防治
伪狂犬病,传染病,属于
百菌清可湿性粉剂,炭疽病,防治
青枯病,细菌性病害,属于
辣椒,病毒病,被危害
甲维盐,甜菜夜蛾,防治
晶体敌百虫,蛴螬,防治
甘薯,红薯,别名
茄科,花叶病毒,病原
甲霜灵锰锌,霜霉病,防治
番茄,蚜虫,被危害
三唑酮,锈病,防治
阿维菌素,金龟子,防治
大白菜,病毒病,被危害
蔬菜,病毒病,感染
番茄,早疫病,感染
甲基二磺隆,早熟禾,防治
精喹禾灵,早熟禾,防治
辛硫磷乳油,蚜虫,防治
胡椒,香料,属于
黑腐病,十字花科,科
梨,食心虫,被危害
蜜虫,蚜虫,别名
丝瓜,白粉虱,被危害
波尔多液,炭疽病,防治
鱼,出血病,感染
葡萄,霜霉病,感染
番茄,晚疫病,感染
真菌,枯萎病,病原
百草一号,菜青虫,防治
麦,阔叶杂草,被危害
病毒病,生长停滞,不良反应
麦蚜,病毒病,导致
花生,叶斑病,感染
小麦,小麦吸浆虫,被危害
花生,蛴螬,被危害
精喹禾灵,看麦娘,防治
千金子,禾本科,科
辣椒,蚜虫,感染
榨菜,病毒病,感染
波尔多液,梨小食心虫,防治
苹果,卷叶蛾,被危害
菜花,黑腐病,感染
芹菜,软腐病,感染
辛硫磷乳油,蛴螬,防治
新高脂膜,病菌,防治
玉米,玉米螟,被危害
敌敌畏,卷叶蛾,防治
普力克,疫病,防治
细小病毒病,传染病,属于
黄瓜,角斑病,感染
草莓,白粉病,感染
小麦,纹枯病,感染
细菌,软腐病,病原
软腐病,细菌,病原
生石灰,疫病,防治
农利灵,灰霉病,防治
细菌,病毒沧迦病,病原
真菌,根腐病,导致
烟草,烟叶,别名
玉米,飞虱,被危害
禾本科,早熟禾,科
新枝霉素,青枯病,防治
苹果,红蜘蛛,被危害
菜椒,灰霉病,感染
黄瓜,白粉病,感染
西瓜,病毒病,感染
葱,大葱,别名
吡虫啉,白粉虱,防治
高效氟吡甲禾灵,禾本科杂草,防治
马铃薯,病毒,感染
猪,猪瘟,感染
菊酯类农药,金龟子,防治
豆科牧草,苜蓿叶象甲,被危害
家兔,球虫病,感染
番茄,病毒病,被危害
大棚蔬菜,蔬菜,属于
黄瓜,枯萎病,感染
病毒病,病毒,病原
朱砂叶螨,叶螨科,科
猪瘟,传染性疾病,属于
多菌灵,锈病,防治
多菌灵,落叶病,防治
葱,葱蓟马,被危害
狗尾草,禾本科,科
茶,茶叶,别名
小麦,锈病,感染
辣椒,细菌性病害,感染
猪,细小病毒病,感染
辣椒,青枯病,感染
杀虫剂,蚜虫,防治
牛筋草,禾本科,科
新高脂膜,蚜虫,防治
枣树,枣步曲,被危害
百菌清,霜霉病,防治
大白菜,白菜,别名
小麦,赤霉病,感染
吡虫啉,粉虱,防治
犬,成虫,被危害
大豆,病毒病,感染
农用链霉素,软腐病,防治
家兔,兔,属于
苦参碱,金龟子,防治
百菌清,炭疽病,防治
微生物,病菌,防治
鸡,土鸡,别名
阿维菌素,红蜘蛛,防治
黄曲霉毒素,真菌毒素,属于
鳙鱼,鱼,属于
代森锰锌,炭疽病,防治
苜蓿,豆科,科
棉花,棉铃虫,被危害
地瓜,甘薯,别名
吡虫啉,蚜虫,防治
葡萄,白粉病,感染
可湿性粉剂,软腐病,防治
玉米,小斑病,感染
豆科牧草,膨胀病,导致
苦槐,苦参,别名
禽流感,疫病,属于
胡萝卜,蚜虫,被危害
甲霜灵锰锌,晚疫病,防治
辣椒,病毒病,感染
生石灰,溃疡病,防治
托布津,炭疽病,防治
小麦,吸浆虫,被危害
石灰,生石灰,别名
猪,生猪,别名
朱砂叶螨,蛛形纲,纲
草,草本,别名
精喹禾灵,禾本科杂草,防治
野燕麦,禾本科,科
白三叶,豆科,科
黄瓜,花叶病毒,病原
病毒,病毒病,导致
大白菜,病毒病,感染
棉花,盲椿象,被危害
红蜘蛛,螨类,防治
百菌清,猝倒病,防治
高效氯氰菊酯,花叶病,防治
茄子,黄萎病,感染
吡虫啉,烟青虫,防治
鱼,腥臭味,不良反应
真菌,根腐病,病原
病毒病,落花落果,不良反应
霜霉威,疫病,防治
大白菜,夜蛾,被危害
豆科牧草,豆科,科
皂角素,瘤胃鼓气,导致
阿维菌素,桃蛀螟,防治
禾本科杂草,野麦子,别名
稗草,禾本科,科
反枝苋,阔叶杂草,属于
樱桃树,大樱桃树,别名
大葱,软腐病,感染
鲫,鱼,属于
生石灰,青枯病,防治
